# command:    /groups/eddy/home/nawrockie/1.0-branch-infernal/src/mpi-cluster-execs/cmsearch --tabfile s5v.5g.tab 5.cm 5genomes.fa
# date:       Sun Aug 23 21:02:52 2009
# num seqs:   6
# dbsize(Mb): 29.988372
#
# Pre-search info for CM 1: 5_8S_rRNA
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -    2719.607     6.00   0.0200  00:10:01.73
#   2   cm  cyk  loc  1e-10     100.000     5.47   0.0007  00:05:31.10
#   3   cm  ins  loc  1e-15       1.000    14.30  4.9e-06  00:00:57.08
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:16:29.92
#
#
# CM: 5_8S_rRNA
#                                         target coord   query coord                         
#                               ----------------------  ------------                         
# target name                        start        stop  start   stop    bit sc   E-value  GC%
# ----------------------------  ----------  ----------  -----  -----  --------  --------  ---
  gi|20806542|ref|NC_003869.1|      626877      626805      1     71     65.93  1.07e-13   59
  gi|20806542|ref|NC_003869.1|     1682932     1682859      1     71     65.41  1.49e-13   65
  gi|20806542|ref|NC_003869.1|      626671      626599      1     71     65.31  1.59e-13   62
  gi|20806542|ref|NC_003869.1|     1682770     1682698      1     71     65.31  1.59e-13   62
  gi|20806542|ref|NC_003869.1|     1701435     1701363      1     71     64.91  2.05e-13   62
  gi|20806542|ref|NC_003869.1|     2151617     2151545      1     71     64.89  2.08e-13   60
  gi|20806542|ref|NC_003869.1|     1682691     1682620      1     71     64.25  3.13e-13   63
  gi|20806542|ref|NC_003869.1|      627036      626963      1     71     63.14  6.37e-13   54
  gi|20806542|ref|NC_003869.1|      937171      937101      1     71     61.36  1.99e-12   54
  gi|20806542|ref|NC_003869.1|     2193158     2193086      1     71     58.39  1.32e-11   67
  gi|20806542|ref|NC_003869.1|      937090      937018      1     71     56.62  4.09e-11   68
  gi|20806542|ref|NC_003869.1|     2132511     2132429      1     71     53.53  2.96e-10   55
  gi|20806542|ref|NC_003869.1|      626763      626680      1     71     46.98  1.94e-08   60
  AE003852                          335138      335210      1     71     69.21  1.32e-14   51
  AE003852                          334819      334891      1     71     69.19  1.34e-14   51
  AE003852                          403350      403423      1     71     68.65  1.88e-14   57
  AE003852                          325745      325818      1     71     68.65  1.88e-14   57
  AE003852                         2332041     2332114      1     71     67.61  3.66e-14   51
  AE003852                         2330906     2330979      1     71     67.61  3.66e-14   51
  AE003852                         2331385     2331458      1     71     67.45  4.05e-14   50
  AE003852                          167187      167260      1     71     66.36  8.13e-14   62
  AE003852                         1294227     1294299      1     71     65.93  1.07e-13   56
  AE003852                         1293990     1294062      1     71     65.93  1.07e-13   56
  AE003852                          362429      362501      1     71     65.93  1.07e-13   56
  AE003852                          362203      362275      1     71     65.93  1.07e-13   56
  AE003852                          361971      362043      1     71     65.93  1.07e-13   56
  AE003852                          361861      361933      1     71     65.93  1.07e-13   56
  AE003852                          581914      581987      1     71     64.83  2.16e-13   61
  AE003852                          581633      581706      1     71     64.83  2.16e-13   61
  AE003852                          581352      581425      1     71     64.83  2.16e-13   61
  AE003852                          581766      581839      1     71     64.82  2.17e-13   61
  AE003852                          581484      581557      1     71     64.82  2.17e-13   61
  AE003852                          335050      335121      1     71     64.24  3.16e-13   57
  AE003852                          167583      167655      1     71     63.85  4.04e-13   58
  AE003852                          167299      167371      1     71     63.85  4.04e-13   58
  AE003852                          167720      167793      1     71     63.37  5.50e-13   58
  AE003852                          767948      768021      1     71     62.91  7.39e-13   68
  AE003852                          406956      407029      1     71     62.91  7.39e-13   68
  AE003852                          329350      329423      1     71     62.91  7.39e-13   68
  AE003852                           58941       59014      1     71     62.91  7.39e-13   68
  AE003852                         2332484     2332555      1     71     62.24  1.13e-12   54
  AE003852                         2331588     2331659      1     71     62.24  1.13e-12   54
  AE003852                         2331233     2331304      1     71     62.24  1.13e-12   54
  AE003852                         2332243     2332314      1     71     62.17  1.19e-12   57
  AE003852                          167436      167509      1     71     61.93  1.38e-12   57
  AE003852                          325830      325902      1     71     61.58  1.72e-12   62
  AE003852                         2331815     2331886      1     71     59.95  4.88e-12   53
  AE003852                          581094      581167      1     71     59.52  6.42e-12   59
  AE003852                           55421       55493      1     71     58.54  1.21e-11   60
  AE003852                         2199484     2199571      1     71     57.71  2.04e-11   50
  AE003852                          156206      156293      1     71     57.71  2.04e-11   50
  AE003852                          362929      363002      1     71     57.27  2.71e-11   62
  AE003852                          362691      362764      1     71     57.20  2.84e-11   59
  AE003852                          362810      362883      1     71     56.65  4.03e-11   65
  AE003852                          362318      362391      1     71     56.65  4.03e-11   65
  AE003852                           59047       59120      1     71     56.32  4.98e-11   57
  AE003852                          764379      764451      1     71     56.05  5.89e-11   62
  AE003852                          152663      152735      1     71     56.05  5.89e-11   62
  AE003852                          683065      683138      1     71     54.81  1.30e-10   64
  AE003852                          581193      581282      1     71     54.55  1.54e-10   60
  AE003852                         1294130     1294213      1     71     53.22  3.59e-10   57
  AE003852                         1293914     1293984      1     71     52.63  5.25e-10   66
  AE003852                          580968      581057      1     71     52.56  5.48e-10   59
  AE003852                         2331121     2331202      1     71     52.09  7.39e-10   52
  AE003852                         2199243     2199316      1     71     51.98  7.96e-10   62
  AE003852                         2332600     2332681      1     71     51.89  8.43e-10   55
  AE003852                         2332361     2332442      1     71     51.89  8.43e-10   55
  AE003852                         2331931     2332012      1     71     51.89  8.43e-10   55
  AE003852                         2331704     2331785      1     71     51.89  8.43e-10   55
  AE003852                          682928      683008      1     71     51.01  1.48e-09   56
  AE003852                          334930      335011      1     71     49.48  3.93e-09   62
  AE003852                         1895692     1895776      1     71     48.86  5.81e-09   54
  AE003852                         2332140     2332222      1     71     42.67  3.04e-07   58
  AE003852                         2331485     2331567      1     71     42.67  3.04e-07   58
  AE003852                         2331011     2331093      1     71     42.34  3.75e-07   59
  AE003852                          403435      403508      1     71     42.09  4.40e-07   61
  AE003852                         2931580     2931509      1     71     74.54  4.37e-16   46
  AE003852                         2937301     2937230      1     71     74.54  4.37e-16   46
  AE003852                          481449      481377      1     71     69.34  1.21e-14   56
  AE003852                          478566      478494      1     71     69.19  1.34e-14   51
  AE003852                          478761      478689      1     71     69.19  1.34e-14   51
  AE003852                         2679820     2679747      1     71     68.65  1.88e-14   57
  AE003852                         2676192     2676120      1     71     68.61  1.93e-14   53
  AE003852                          481363      481291      1     71     67.83  3.19e-14   56
  AE003852                          478878      478806      1     71     67.22  4.71e-14   59
  AE003852                          481573      481501      1     71     67.22  4.71e-14   59
  AE003852                          478476      478404      1     71     67.10  5.09e-14   58
  AE003852                          478670      478598      1     71     67.10  5.09e-14   58
  AE003852                         2093396     2093323      1     71     66.92  5.70e-14   55
  AE003852                         1712371     1712298      1     71     66.39  7.98e-14   55
  AE003852                         1712469     1712396      1     71     65.96  1.05e-13   61
  AE003852                          550262      550190      1     71     65.78  1.18e-13   60
  AE003852                         2931475     2931403      1     71     65.58  1.34e-13   60
  AE003852                         2937196     2937124      1     71     65.58  1.34e-13   60
  AE003852                         1087203     1087131      1     71     65.02  1.92e-13   56
  AE003852                          481250      481178      1     71     64.70  2.36e-13   60
  AE003852                         2375700     2375627      1     71     63.37  5.50e-13   58
  AE003852                         2927872     2927799      1     71     62.91  7.39e-13   68
  AE003852                         2679735     2679663      1     71     61.58  1.72e-12   62
  AE003852                         2931394     2931322      1     71     61.58  1.72e-12   62
  AE003852                         2931675     2931603      1     71     56.05  5.89e-11   62
  AE003852                         2937396     2937324      1     71     56.05  5.89e-11   62
  AE003852                         2683422     2683341      1     71     54.59  1.50e-10   51
  AE003852                          973255      973174      1     71     49.48  3.93e-09   62
  AE003852                          973424      973343      1     71     49.48  3.93e-09   62
  AE003852                          973593      973512      1     71     49.48  3.93e-09   62
  AE003852                          973763      973682      1     71     49.48  3.93e-09   62
  AE003852                         2331895     2331840     10     63     21.44  2.36e-01   48
  AE003853                          494884      494955      1     71     64.24  3.16e-13   57
  AE003853                          699747      699664      1     71     53.22  3.59e-10   57
  AE003853                          699636      699566      1     71     52.63  5.24e-10   65
  AE003853                          704856      704786      1     71     52.63  5.24e-10   65
  H.pylori_genome                   425052      425125      1     71     68.65  1.89e-14   58
  H.pylori_genome                  1605878     1605950      1     71     68.04  2.78e-14   52
  H.pylori_genome                   887942      888015      1     71     66.89  5.81e-14   51
  H.pylori_genome                  1005696     1005767      1     71     64.87  2.10e-13   65
  H.pylori_genome                   424676      424750      1     71     62.38  1.04e-12   61
  H.pylori_genome                  1006326     1006397      1     71     62.14  1.21e-12   57
  H.pylori_genome                   424953      425026      1     71     60.03  4.64e-12   57
  H.pylori_genome                   345390      345463      1     71     59.33  7.25e-12   57
  H.pylori_genome                   424819      424892      1     71     57.30  2.66e-11   55
  H.pylori_genome                   374829      374910      1     71     54.52  1.57e-10   52
  H.pylori_genome                  1006448     1006532      1     71     54.28  1.82e-10   60
  H.pylori_genome                    96959       97047      1     71     52.06  7.55e-10   58
  H.pylori_genome                  1006166     1006249      1     71     50.96  1.53e-09   55
  H.pylori_genome                  1125286     1125370      1     71     50.52  2.02e-09   60
  H.pylori_genome                  1072258     1072332      1     71     49.14  4.89e-09   63
  H.pylori_genome                     4577        4505      1     71     72.21  1.94e-15   48
  H.pylori_genome                     4779        4707      1     71     70.04  7.75e-15   51
  H.pylori_genome                   370045      369972      1     71     68.80  1.71e-14   57
  H.pylori_genome                  1282389     1282317      1     71     68.70  1.82e-14   58
  H.pylori_genome                  1282186     1282113      1     71     68.21  2.50e-14   61
  H.pylori_genome                  1282079     1282008      1     71     66.82  6.09e-14   51
  H.pylori_genome                   797829      797756      1     71     66.78  6.21e-14   50
  H.pylori_genome                    78281       78209      1     71     64.43  2.79e-13   58
  H.pylori_genome                   238578      238507      1     71     64.15  3.34e-13   53
  H.pylori_genome                  1249354     1249280      1     71     62.82  7.83e-13   57
  H.pylori_genome                     4693        4622      1     71     62.29  1.10e-12   51
  H.pylori_genome                   369954      369882      1     71     60.78  2.87e-12   60
  H.pylori_genome                     4461        4388      1     71     60.36  3.76e-12   64
  H.pylori_genome                   949973      949900      1     71     60.25  4.03e-12   54
  H.pylori_genome                   261560      261488      1     71     58.10  1.59e-11   63
  H.pylori_genome                  1280445     1280373      1     71     58.01  1.69e-11   59
  H.pylori_genome                     4322        4250      1     71     57.28  2.68e-11   49
  H.pylori_genome                   950066      949995      1     71     55.63  7.71e-11   60
  H.pylori_genome                  1287873     1287790      1     71     55.04  1.12e-10   56
  H.pylori_genome                  1282286     1282205      1     71     52.44  5.91e-10   51
  H.pylori_genome                  1288015     1287932      1     71     45.77  4.19e-08   60
  gb|AE001363|AE001363              784922      784994      1     71     72.82  1.31e-15   49
  gb|AE001363|AE001363               89657       89728      1     71     71.81  2.51e-15   51
  gb|AE001363|AE001363              781610      781680      1     71     69.43  1.15e-14   58
  gb|AE001363|AE001363              296075      296147      1     71     65.66  1.27e-13   53
  gb|AE001363|AE001363              877400      877473      1     71     65.45  1.46e-13   58
  gb|AE001363|AE001363              462141      462214      1     71     64.23  3.17e-13   59
  gb|AE001363|AE001363              199317      199390      1     71     61.75  1.55e-12   50
  gb|AE001363|AE001363              296151      296224      1     71     61.62  1.68e-12   62
  gb|AE001363|AE001363              199229      199301      1     71     61.22  2.16e-12   55
  gb|AE001363|AE001363              409848      409922      1     71     60.87  2.72e-12   57
  gb|AE001363|AE001363              677264      677337      1     71     60.35  3.77e-12   58
  gb|AE001363|AE001363               90998       91070      1     71     59.75  5.55e-12   64
  gb|AE001363|AE001363              836119      836191      1     71     57.18  2.88e-11   55
  gb|AE001363|AE001363             1142034     1142118      1     71     56.29  5.07e-11   53
  gb|AE001363|AE001363              784822      784896      1     71     55.83  6.77e-11   59
  gb|AE001363|AE001363             1085605     1085676      1     71     55.82  6.82e-11   60
  gb|AE001363|AE001363              843926      843999      1     71     55.24  9.92e-11   61
